月份,星期,明日工地,明日車次,明日遠距離,明日超遠,今日在職,今日臨時,明日天氣,OUTPUT
1,3,8,27,17,15,7,8,1,12
1,4,15,44,6,5,8,4,0,11
1,5,11,47,5,1,7,4,1,9
1,6,8,33,5,0,4,5,1,12
1,7,11,35,4,1,6,6,0,11
1,1,13,52,14,2,6,5,1,15
1,2,12,35,13,12,8,7,1,13
1,3,12,45,11,0,8,5,1,14
1,4,11,34,10,9,7,7,0,12
1,5,11,30,3,2,5,7,0,9
1,6,5,13,0,0,4,5,1,6
1,7,9,28,1,1,6,0,1,10
1,1,15,57,1,1,6,4,1,15
1,2,13,46,10,3,8,7,1,14
1,3,12,53,8,5,8,6,1,15
1,4,15,54,27,12,7,8,0,16
1,5,13,31,1,1,7,9,0,11
1,6,10,49,17,10,4,7,1,13
1,7,10,38,8,0,5,8,1,11
1,1,12,66,27,17,8,3,0,17
1,2,16,55,7,0,8,9,0,14
1,3,12,41,12,0,8,6,0,11
1,4,17,71,14,0,8,3,0,16
1,5,10,41,9,0,8,8,0,12
1,6,9,40,2,2,4,8,0,12
1,7,12,51,25,15,5,7,0,14
1,1,13,55,14,3,7,7,0,15
1,2,12,47,5,2,7,8,0,12
1,3,11,40,14,4,8,4,0,12
1,4,8,36,21,6,8,4,0,10
2,5,6,21,8,8,3,7,0,13
2,6,1,2,0,0,7,6,0,8
2,7,4,10,5,0,8,0,0,8
2,3,8,80,15,0,8,0,0,18
2,4,8,61,13,0,7,11,0,13
2,5,8,21,11,0,5,8,0,10
2,6,8,14,1,0,4,6,1,7
2,7,9,65,20,0,6,1,0,17
2,1,10,42,15,0,8,9,0,15
2,2,8,37,19,0,7,8,0,12
2,3,11,43,15,0,8,4,0,13
2,4,7,30,12,0,8,5,1,10
2,5,11,29,14,0,5,5,0,11
2,6,6,12,4,0,4,7,1,8
2,7,11,28,17,0,6,2,0,12
2,1,11,41,31,0,7,5,0,16
2,2,8,35,23,10,8,8,0,15
2,3,8,20,12,10,7,8,0,11
2,4,10,24,11,6,7,4,0,12
3,5,11,32,18,10,7,5,0,13
3,6,12,30,11,10,7,6,1,10
3,7,10,36,25,10,6,4,0,15
3,1,12,29,18,3,6,9,0,13
3,2,12,24,14,2,7,6,1,9
3,3,9,22,16,0,7,2,1,8
3,4,9,22,7,0,8,0,0,10
3,5,7,23,5,0,7,3,1,8
3,6,6,9,4,0,6,2,1,5
3,7,12,31,13,0,5,0,0,8
3,1,12,51,12,0,8,0,0,14
3,2,11,22,6,0,7,7,0,9
3,3,10,19,10,0,7,2,0,8
3,4,15,34,14,8,8,0,0,9
3,5,12,30,10,0,7,2,1,11
3,6,8,29,7,7,5,6,0,11
3,7,8,28,16,0,5,6,0,12
3,1,13,43,9,0,7,5,0,12
3,2,9,34,17,2,8,4,0,14
3,3,11,28,8,0,7,7,0,10
3,4,11,38,12,0,7,3,0,12
3,5,10,29,7,0,7,5,0,12
3,6,4,13,0,0,5,7,1,6
3,7,11,38,5,0,5,1,1,9
3,1,13,53,23,2,6,3,0,15
3,2,10,29,13,0,7,8,0,12
3,3,9,22,9,0,7,5,0,8
3,4,10,33,18,0,6,2,0,12
3,5,9,23,10,0,8,4,0,9
3,6,2,5,4,0,5,4,0,5
3,7,5,20,8,1,5,0,1,6
4,1,7,15,6,2,6,0,0,6
4,2,7,14,5,0,6,0,0,7
4,3,8,15,2,0,7,0,0,6
4,4,4,10,0,0,6,0,0,4
4,6,4,5,0,0,4,0,0,5
4,7,7,19,5,0,5,0,0,8
4,1,8,17,9,4,7,1,0,6
4,2,11,42,8,0,6,0,0,13
